ID,HHID,latitude,longitude
CHBA0010101,CHBA00101,24.60975075,90.30786133
CHBA0010102,CHBA00101,24.60975075,90.30786133
CHBA0010103,CHBA00101,24.60975075,90.30786133
CHBA0010104,CHBA00101,24.60975075,90.30786133
CHBA0010201,CHBA00102,24.60993004,90.30787659
CHBA0010202,CHBA00102,24.60993004,90.30787659
CHBA0010203,CHBA00102,24.60993004,90.30787659
CHBA0010301,CHBA00103,24.60985947,90.30783844
CHBA0010401,CHBA00104,24.61010933,90.30845642
CHBA0010402,CHBA00104,24.61010933,90.30845642
CHBA0010403,CHBA00104,24.61010933,90.30845642
CHBA0010404,CHBA00104,24.61010933,90.30845642
CHBA0010501,CHBA00105,24.61027908,90.30838776
CHBA0010502,CHBA00105,24.61027908,90.30838776
CHBA0010503,CHBA00105,24.61027908,90.30838776
